,Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species,Relative
845,Thioredoxin-disulfide reductase,1.8.1.9,Enzyme,0.003287425,,,,Escherichia coli,rel0
846,3-deoxy-8-phosphooctulonate synthase,2.5.1.55,Enzyme,0.003287425,,,,Escherichia coli,rel0
847,Argininosuccinate synthase,6.3.4.5,Enzyme,0.003835329,,,,Escherichia coli,rel0
848,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",5.4.2.2,Enzyme,0.002739521,,,,Escherichia coli,rel0
849,Glutamine-trna ligase,6.1.1.18,Enzyme,0.002374251,,,,Escherichia coli,rel0
850,Glycine c-acetyltransferase,2.3.1.29,Enzyme,0.003287425,,,,Escherichia coli,rel0
851,Phosphoserine transaminase,2.6.1.52,Enzyme,0.003652695,,,,Escherichia coli,rel0
852,"Glutamate-1-semialdehyde 2,1-aminomutase",5.4.3.8,Enzyme,0.002739521,,,,Escherichia coli,rel0
853,Branched-chain-amino-acid transaminase,2.6.1.42,Enzyme,0.002556886,,,,Escherichia coli,rel0
854,Aminomethyltransferase,2.1.2.10,Enzyme,0.002556886,,,,Escherichia coli,rel0
855,Acetate kinase,2.7.2.1,Enzyme,0.002739521,,,,Escherichia coli,rel0
856,Acetyl-coa carboxylase,6.4.1.2,Enzyme,0.003287425,,,,Escherichia coli,rel0
857,Purine-nucleoside phosphorylase,2.4.2.1,Enzyme,0.003287425,,,,Escherichia coli,rel0
858,"6,7-dimethyl-8-ribityllumazine synthase",2.5.1.78,Enzyme,0.002008982,,,,Escherichia coli,rel0
859,Adp-glyceromanno-heptose 6-epimerase,5.1.3.20,Enzyme,0.002556886,,,,Escherichia coli,rel0
861,Glucose-6-phosphate dehydrogenase (nadp+),1.1.1.49,Enzyme,0.002922156,,,,Escherichia coli,rel0
862,Arginine-trna ligase,6.1.1.19,Enzyme,0.00310479,,,,Escherichia coli,rel0
863,"6,7-dihydropteridine reductase",1.5.1.34,Enzyme,0.002556886,,,,Escherichia coli,rel0
865,D-sedoheptulose 7-phosphate isomerase,5.3.1.28,Enzyme,0.001826347,,,,Escherichia coli,rel0
866,Inorganic diphosphatase,3.6.1.1,Enzyme,0.00310479,,,,Escherichia coli,rel0
867,[acyl-carrier-protein] s-malonyltransferase,2.3.1.39,Enzyme,0.001461078,,,,Escherichia coli,rel0
868,L-threonine 3-dehydrogenase,1.1.1.103,Enzyme,0.002008982,,,,Escherichia coli,rel0
870,Galactitol-1-phosphate 5-dehydrogenase,1.1.1.251,Enzyme,0.001826347,,,,Escherichia coli,rel0
871,Uridine phosphorylase,2.4.2.3,Enzyme,0.001826347,,,,Escherichia coli,rel0
872,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,4.2.1.59,Enzyme,0.002191617,,,,Escherichia coli,rel0
876,S-ribosylhomocysteine lyase,4.4.1.21,Enzyme,0.001278443,,,,Escherichia coli,rel0
877,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,2.3.1.180,Enzyme,0.001643713,,,,Escherichia coli,rel0
878,Tryptophan-trna ligase,6.1.1.2,Enzyme,0.002008982,,,,Escherichia coli,rel0
879,Nad+ synthase,6.3.1.5,Enzyme,0.001461078,,,,Escherichia coli,rel0
881,D-alanine-d-alanine ligase,6.3.2.4,Enzyme,0.002556886,,,,Escherichia coli,rel0
884,Aspartate-semialdehyde dehydrogenase,1.2.1.11,Enzyme,0.002191617,,,,Escherichia coli,rel0
885,Dna-directed dna polymerase,2.7.7.7,Enzyme,0.000913174,,,,Escherichia coli,rel0
886,Shikimate kinase,2.7.1.71,Enzyme,0.002008982,,,,Escherichia coli,rel0
887,Phosphoglucosamine mutase,5.4.2.10,Enzyme,0.002191617,,,,Escherichia coli,rel0
888,(e)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin),1.17.7.1,Enzyme,0.001643713,,,,Escherichia coli,rel0
889,Phosphoribosylaminoimidazolecarboxamide formyltransferase,2.1.2.3,Enzyme,0.000913174,,,,Escherichia coli,rel0
890,Arginine decarboxylase,4.1.1.19,Enzyme,0.001278443,,,,Escherichia coli,rel0
891,2-dehydro-3-deoxy-phosphogluconate aldolase,4.1.2.14,Enzyme,0.001095808,,,,Escherichia coli,rel0
892,Ribose-5-phosphate isomerase,5.3.1.6,Enzyme,0.001643713,,,,Escherichia coli,rel0
893,Udp-4-amino-4-deoxy-l-arabinose aminotransferase,2.6.1.87,Enzyme,0.001461078,,,,Escherichia coli,rel0
894,L-fucose isomerase,5.3.1.25,Enzyme,0.001461078,,,,Escherichia coli,rel0
895,Cysteine-trna ligase,6.1.1.16,Enzyme,0.001826347,,,,Escherichia coli,rel0
896,6-phosphofructokinase,2.7.1.11,Enzyme,0.001095808,,,,Escherichia coli,rel0
897,Adenylosuccinate lyase,4.3.2.2,Enzyme,0.001643713,,,,Escherichia coli,rel0
898,Formyltetrahydrofolate deformylase,3.5.1.10,Enzyme,0.001278443,,,,Escherichia coli,rel0
899,Porphobilinogen synthase,4.2.1.24,Enzyme,0.000547904,,,,Escherichia coli,rel0
900,Inositol-phosphate phosphatase,3.1.3.25,Enzyme,0.001278443,,,,Escherichia coli,rel0
901,Isocitrate lyase,4.1.3.1,Enzyme,0.002008982,,,,Escherichia coli,rel0
902,Succinate dehydrogenase,1.3.5.1,Enzyme,0.001826347,,,,Escherichia coli,rel0
904,Phosphopentomutase,5.4.2.7,Enzyme,0.001826347,,,,Escherichia coli,rel0
905,"Dtdp-glucose 4,6-dehydratase",4.2.1.46,Enzyme,0.000730539,,,,Escherichia coli,rel0
906,3-oxoacyl-[acyl-carrier-protein] reductase,1.1.1.100,Enzyme,0.000913174,,,,Escherichia coli,rel0
907,Acetylornithine deacetylase,3.5.1.16,Enzyme,0.000365269,,,,Escherichia coli,rel0
908,Udp-glucuronic acid dehydrogenase (udp-4-keto-hexauronic acid,1.1.1.305,Enzyme,0.001095808,,,,Escherichia coli,rel0
909,Methylthioadenosine nucleosidase,3.2.2.16,Enzyme,0.000730539,,,,Escherichia coli,rel0
910,Acetolactate synthase,2.2.1.6,Enzyme,0.001826347,,,,Escherichia coli,rel0
911,3-deoxy-7-phosphoheptulonate synthase,2.5.1.54,Enzyme,0.001826347,,,,Escherichia coli,rel0
913,Glutathione synthase,6.3.2.3,Enzyme,0.001826347,,,,Escherichia coli,rel0
914,3-hydroxypropionate dehydrogenase (nadp+),1.1.1.298,Enzyme,0.000365269,,,,Escherichia coli,rel0
915,Nadh:quinone reductase (non-electrogenic),1.6.5.9,Enzyme,0.002191617,,,,Escherichia coli,rel0
916,Glycerophosphodiester phosphodiesterase,3.1.4.46,Enzyme,0.001643713,,,,Escherichia coli,rel0
917,Uracil phosphoribosyltransferase,2.4.2.9,Enzyme,0.001278443,,,,Escherichia coli,rel0
918,L-serine ammonia-lyase,4.3.1.17,Enzyme,0.000913174,,,,Escherichia coli,rel0
919,Pantoate-beta-alanine ligase (amp-forming),6.3.2.1,Enzyme,0.001643713,,,,Escherichia coli,rel0
920,Glycogen phosphorylase,2.4.1.1,Enzyme,0.000913174,,,,Escherichia coli,rel0
921,Hypoxanthine phosphoribosyltransferase,2.4.2.8,Enzyme,0.001461078,,,,Escherichia coli,rel0
924,Beta-galactosidase,3.2.1.23,Enzyme,0.000182635,,,,Escherichia coli,rel0
925,2-hydroxy-3-oxopropionate reductase,1.1.1.60,Enzyme,0.000365269,,,,Escherichia coli,rel0
926,Malate dehydrogenase (oxaloacetate-decarboxylating),1.1.1.38,Enzyme,0.001643713,,,,Escherichia coli,rel0
927,Udp-n-acetylglucosamine 1-carboxyvinyltransferase,2.5.1.7,Enzyme,0.000913174,,,,Escherichia coli,rel0
928,Threonine ammonia-lyase,4.3.1.19,Enzyme,0.001643713,,,,Escherichia coli,rel0
931,Glutamate-cysteine ligase,6.3.2.2,Enzyme,0.000913174,,,,Escherichia coli,rel0
932,Acetylornithine transaminase,2.6.1.11,Enzyme,0.000365269,,,,Escherichia coli,rel0
933,Glutathione-disulfide reductase,1.8.1.7,Enzyme,0.000365269,,,,Escherichia coli,rel0
934,5-methyltetrahydropteroyltriglutamate-homocysteine s-methyltransferase,2.1.1.14,Enzyme,0.000182635,,,,Escherichia coli,rel0
935,Orotidine-5'-phosphate decarboxylase,4.1.1.23,Enzyme,0.000730539,,,,Escherichia coli,rel0
936,1-(5-phosphoribosyl)-5-[(5,5.3.1.16,Enzyme,0.000547904,,,,Escherichia coli,rel0
938,N-acetylneuraminate lyase,4.1.3.3,Enzyme,0.000547904,,,,Escherichia coli,rel0
939,Phosphoribosylformylglycinamidine synthase,6.3.5.3,Enzyme,0.000730539,,,,Escherichia coli,rel0
940,Assimilatory sulfite reductase (nadph),1.8.1.2,Enzyme,0.000913174,,,,Escherichia coli,rel0
941,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,6.3.2.6,Enzyme,0.000547904,,,,Escherichia coli,rel0
942,Beta-glucosidase,3.2.1.21,Enzyme,0.001095808,,,,Escherichia coli,rel0
943,Histidinol-phosphatase,3.1.3.15,Enzyme,0.000913174,,,,Escherichia coli,rel0
944,Peptide deformylase,3.5.1.88,Enzyme,0.000913174,,,,Escherichia coli,rel0
946,Glucose-6-phosphate isomerase,5.3.1.9,Enzyme,0.001278443,,,,Escherichia coli,rel0
948,Fructose-bisphosphatase,3.1.3.11,Enzyme,0.001826347,,,,Escherichia coli,rel0
949,Ribulose-phosphate 3-epimerase,5.1.3.1,Enzyme,0.000547904,,,,Escherichia coli,rel0
950,Adenine phosphoribosyltransferase,2.4.2.7,Enzyme,0.000730539,,,,Escherichia coli,rel0
952,Betaine-aldehyde dehydrogenase,1.2.1.8,Enzyme,0.000365269,,,,Escherichia coli,rel0
954,Tagatose-bisphosphate aldolase,4.1.2.40,Enzyme,0.000365269,,,,Escherichia coli,rel0
955,"1,4-dihydroxy-2-naphthoyl-coa synthase",4.1.3.36,Enzyme,0.000182635,,,,Escherichia coli,rel0
956,Ribonucleoside-diphosphate reductase,1.17.4.1,Enzyme,0.000365269,,,,Escherichia coli,rel0
957,Gmp reductase,1.7.1.7,Enzyme,0.000913174,,,,Escherichia coli,rel0
958,Glutamate-5-semialdehyde dehydrogenase,1.2.1.41,Enzyme,0.002556886,,,,Escherichia coli,rel0
961,Riboflavin synthase,2.5.1.9,Enzyme,0.001278443,,,,Escherichia coli,rel0
962,Alcohol dehydrogenase (nadp+),1.1.1.2,Enzyme,0.000182635,,,,Escherichia coli,rel0
964,Phosphoglycerate dehydrogenase,1.1.1.95,Enzyme,0.000365269,,,,Escherichia coli,rel0
965,Acetylglutamate kinase,2.7.2.8,Enzyme,0.000547904,,,,Escherichia coli,rel0
966,Hydroxyacylglutathione hydrolase,3.1.2.6,Enzyme,0.000547904,,,,Escherichia coli,rel0
967,Phosphoribosylamine-glycine ligase,6.3.4.13,Enzyme,0.000365269,,,,Escherichia coli,rel0
968,Thymidylate synthase,2.1.1.45,Enzyme,0.000547904,,,,Escherichia coli,rel0
969,Mannose-6-phosphate isomerase,5.3.1.8,Enzyme,0.000730539,,,,Escherichia coli,rel0
970,Atp phosphoribosyltransferase,2.4.2.17,Enzyme,0.001095808,,,,Escherichia coli,rel0
972,Asparagine synthase (glutamine-hydrolysing),6.3.5.4,Enzyme,0.000182635,,,,Escherichia coli,rel0
973,Rna helicase,3.6.4.13,Enzyme,0.000547904,,,,Escherichia coli,rel0
974,Ump kinase,2.7.4.22,Enzyme,0.000547904,,,,Escherichia coli,rel0
975,Spermidine synthase,2.5.1.16,Enzyme,0.000547904,,,,Escherichia coli,rel0
977,"Dtdp-4-amino-4,6-dideoxy-d-glucose transaminase",2.6.1.33,Enzyme,0.000365269,,,,Escherichia coli,rel0
978,N-methyl-l-amino-acid oxidase,1.5.3.2,Enzyme,0.001095808,,,,Escherichia coli,rel0
979,Dutp diphosphatase,3.6.1.23,Enzyme,0.000547904,,,,Escherichia coli,rel0
980,Arsenate reductase (glutathione/glutaredoxin),1.20.4.1,Enzyme,0.000547904,,,,Escherichia coli,rel0
981,"Udp-n-acetylmuramoyl-l-alanyl-d-glutamate-2,6-diaminopimelate ligase",6.3.2.13,Enzyme,0.000547904,,,,Escherichia coli,rel0
982,Peptide-methionine (r)-s-oxide reductase,1.8.4.12,Enzyme,0.000730539,,,,Escherichia coli,rel0
983,Thiosulfate sulfurtransferase,2.8.1.1,Enzyme,0.000730539,,,,Escherichia coli,rel0
984,Alanine racemase,5.1.1.1,Enzyme,0.000365269,,,,Escherichia coli,rel0
985,Hydroxymethylbilane synthase,2.5.1.61,Enzyme,0.000182635,,,,Escherichia coli,rel0
986,Glutathione transferase,2.5.1.18,Enzyme,0.000365269,,,,Escherichia coli,rel0
987,Alcohol dehydrogenase,1.1.1.1,Enzyme,0.000365269,,,,Escherichia coli,rel0
988,Uroporphyrinogen decarboxylase,4.1.1.37,Enzyme,0.0,,,,Escherichia coli,rel0
990,Pyridoxine 5'-phosphate synthase,2.6.99.2,Enzyme,0.000365269,,,,Escherichia coli,rel0
991,Threonine synthase,4.2.3.1,Enzyme,0.000182635,,,,Escherichia coli,rel0
992,Orotate phosphoribosyltransferase,2.4.2.10,Enzyme,0.000182635,,,,Escherichia coli,rel0
993,Glucose-1-phosphate thymidylyltransferase,2.7.7.24,Enzyme,0.000730539,,,,Escherichia coli,rel0
994,6-phospho-beta-glucosidase,3.2.1.86,Enzyme,0.000365269,,,,Escherichia coli,rel0
995,Histidinol dehydrogenase,1.1.1.23,Enzyme,0.000182635,,,,Escherichia coli,rel0
996,Udp-n-acetylmuramoyl-l-alanine-d-glutamate ligase,6.3.2.9,Enzyme,0.000547904,,,,Escherichia coli,rel0
997,Dihydrofolate synthase,6.3.2.12,Enzyme,0.000182635,,,,Escherichia coli,rel0
1000,Pyrroline-5-carboxylate reductase,1.5.1.2,Enzyme,0.000365269,,,,Escherichia coli,rel0
1001,"Dtdp-4-dehydrorhamnose 3,5-epimerase",5.1.3.13,Enzyme,0.000365269,,,,Escherichia coli,rel0
1002,Deoxyribose-phosphate aldolase,4.1.2.4,Enzyme,0.000182635,,,,Escherichia coli,rel0
1003,L-methionine (r)-s-oxide reductase,1.8.4.14,Enzyme,0.000365269,,,,Escherichia coli,rel0
1005,N-acetyl-gamma-glutamyl-phosphate reductase,1.2.1.38,Enzyme,0.000730539,,,,Escherichia coli,rel0
1006,Udp-n-acetylmuramoyl-tripeptide-d-alanyl-d-alanine ligase,6.3.2.10,Enzyme,0.000182635,,,,Escherichia coli,rel0
1007,Aromatic-amino-acid transaminase,2.6.1.57,Enzyme,0.000730539,,,,Escherichia coli,rel0
1009,Lipoyl synthase,2.8.1.8,Enzyme,0.000913174,,,,Escherichia coli,rel0
1010,N-acetylmuramic acid 6-phosphate etherase,4.2.1.126,Enzyme,0.000365269,,,,Escherichia coli,rel0
1011,Dtmp kinase,2.7.4.9,Enzyme,0.000547904,,,,Escherichia coli,rel0
1012,Aspartate carbamoyltransferase,2.1.3.2,Enzyme,0.000365269,,,,Escherichia coli,rel0
1014,Sugar-phosphatase,3.1.3.23,Enzyme,0.000547904,,,,Escherichia coli,rel0
1015,Uridine nucleosidase,3.2.2.3,Enzyme,0.000365269,,,,Escherichia coli,rel0
1018,"3,4-dihydroxy-2-butanone-4-phosphate synthase",4.1.99.12,Enzyme,0.000547904,,,,Escherichia coli,rel0
1020,Gtp cyclohydrolase i,3.5.4.16,Enzyme,0.0,,,,Escherichia coli,rel0
1021,S-(hydroxymethyl)glutathione dehydrogenase,1.1.1.284,Enzyme,0.000365269,,,,Escherichia coli,rel0
1022,Aspartate 1-decarboxylase,4.1.1.11,Enzyme,0.000365269,,,,Escherichia coli,rel0
1023,D-lactate dehydrogenase,1.1.1.28,Enzyme,0.000365269,,,,Escherichia coli,rel0
1024,Trna nucleotidyltransferase,2.7.7.56,Enzyme,0.0,,,,Escherichia coli,rel0
1025,Agmatinase,3.5.3.11,Enzyme,0.000730539,,,,Escherichia coli,rel0
1026,Dctp deaminase,3.5.4.13,Enzyme,0.000182635,,,,Escherichia coli,rel0
1027,Utp-glucose-1-phosphate uridylyltransferase,2.7.7.9,Enzyme,0.000365269,,,,Escherichia coli,rel0
1028,Ribonucleoside-triphosphate reductase (thioredoxin),1.17.4.2,Enzyme,0.0,,,,Escherichia coli,rel0
1029,Sulfate adenylyltransferase,2.7.7.4,Enzyme,0.000182635,,,,Escherichia coli,rel0
1032,"3'(2'),5'-bisphosphate nucleotidase",3.1.3.7,Enzyme,0.000365269,,,,Escherichia coli,rel0
1033,Trna (guanine46-n7)-methyltransferase,2.1.1.33,Enzyme,0.000182635,,,,Escherichia coli,rel0
1034,3-deoxy-manno-octulosonate cytidylyltransferase,2.7.7.38,Enzyme,0.000547904,,,,Escherichia coli,rel0
1038,Udp-n-acetylmuramate-l-alanine ligase,6.3.2.8,Enzyme,0.000182635,,,,Escherichia coli,rel0
1040,Glucose-1-phosphatase,3.1.3.10,Enzyme,0.000547904,,,,Escherichia coli,rel0
1042,Aminoacyl-trna hydrolase,3.1.1.29,Enzyme,0.000365269,,,,Escherichia coli,rel0
1043,Chorismate synthase,4.2.3.5,Enzyme,0.000365269,,,,Escherichia coli,rel0
1044,Histidinol-phosphate transaminase,2.6.1.9,Enzyme,0.0,,,,Escherichia coli,rel0
1046,Dihydroorotase,3.5.2.3,Enzyme,0.000547904,,,,Escherichia coli,rel0
1047,Pyridoxal kinase,2.7.1.35,Enzyme,0.000365269,,,,Escherichia coli,rel0
1048,3-deoxy-manno-octulosonate-8-phosphatase,3.1.3.45,Enzyme,0.000365269,,,,Escherichia coli,rel0
1049,Methylglyoxal synthase,4.2.3.3,Enzyme,0.000365269,,,,Escherichia coli,rel0
1050,5'-nucleotidase,3.1.3.5,Enzyme,0.0,,,,Escherichia coli,rel0
1051,Gluconokinase,2.7.1.12,Enzyme,0.000182635,,,,Escherichia coli,rel0
1053,3-phosphoshikimate 1-carboxyvinyltransferase,2.5.1.19,Enzyme,0.000365269,,,,Escherichia coli,rel0
1054,Ferroxidase,1.16.3.1,Enzyme,0.0,,,,Escherichia coli,rel0
1057,Phosphoadenylyl-sulfate reductase (thioredoxin),1.8.4.8,Enzyme,0.000913174,,,,Escherichia coli,rel0
1058,3-methyl-2-oxobutanoate hydroxymethyltransferase,2.1.2.11,Enzyme,0.000182635,,,,Escherichia coli,rel0
1059,Glutamate 5-kinase,2.7.2.11,Enzyme,0.000182635,,,,Escherichia coli,rel0
1062,Nicotinate-nucleotide diphosphorylase (carboxylating),2.4.2.19,Enzyme,0.000365269,,,,Escherichia coli,rel0
1063,16s rrna (guanine1207-n2)-methyltransferase,2.1.1.172,Enzyme,0.000365269,,,,Escherichia coli,rel0
1065,Demethylmenaquinone methyltransferase,2.1.1.163,Enzyme,0.000365269,,,,Escherichia coli,rel0
1066,All-trans-octaprenyl-diphosphate synthase,2.5.1.90,Enzyme,0.000182635,,,,Escherichia coli,rel0
1067,Biotin synthase,2.8.1.6,Enzyme,0.0,,,,Escherichia coli,rel0
1068,Dtdp-4-dehydrorhamnose reductase,1.1.1.133,Enzyme,0.000182635,,,,Escherichia coli,rel0
1070,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",3.1.4.16,Enzyme,0.000730539,,,,Escherichia coli,rel0
1072,Homoserine dehydrogenase,1.1.1.3,Enzyme,0.0,,,,Escherichia coli,rel0
1073,Phosphoribosylformylglycinamidine cyclo-ligase,6.3.3.1,Enzyme,0.0,,,,Escherichia coli,rel0
1074,Amp nucleosidase,3.2.2.4,Enzyme,0.000365269,,,,Escherichia coli,rel0
1076,Isocitrate dehydrogenase (nadp+),1.1.1.42,Enzyme,0.010227545,,,,Escherichia coli,rel0
1077,Atp citrate synthase,2.3.3.8,Enzyme,5.29640717,,,,Escherichia coli,rel0
