id,name,bigg,rhea,ec,kegg,transporter,exchange,no id
R_BETALDHy,Betaine-aldehyde dehydrogenase,BETALDHy,"['30070', '30069', '30068', '30067']",['1.2.1.8'],['R02566'],FALSE,FALSE,FALSE
R_DHQS,3-dehydroquinate synthase,DHQS,"['21968', '21970', '21971', '21969']",['4.2.3.4'],['R03083'],FALSE,FALSE,FALSE
R_DAPDC,Diaminopimelate decarboxylase,DAPDC,"['15101', '15104', '15102', '15103']",['4.1.1.20'],['R00451'],FALSE,FALSE,FALSE
R_DAPE,Diaminopimelate epimerase,DAPE,"['15396', '15395', '15393', '15394']",['5.1.1.7'],['R02735'],FALSE,FALSE,FALSE
R_DKGLCNR2x,"2,5-diketo-D-gluconate reductase (NADH)",DKGLCNR2x,"['30103', '30105', '30106', '30104']",,,FALSE,FALSE,FALSE
R_DKGLCNR2y,"2,5-diketo-D-gluconate reductase (NADPH)",DKGLCNR2y,"['27637', '27635', '27634', '27636']","['1.1.1', '1.1.1.215']",['R08879'],FALSE,FALSE,FALSE
R_DKMPPD,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",DKMPPD,"['27925', '27922', '27924', '27923']",,,FALSE,FALSE,FALSE
R_BPNT,"3',5'-bisphosphate nucleotidase",BPNT,"['10041', '10040', '10043', '10042']","['3.1.3.7', '3.1.3.97']",['R00188'],FALSE,FALSE,FALSE
R_DMATT,Dimethylallyltranstransferase,DMATT,"['22410', '22409', '22411', '22408']",['2.5.1.1'],['R01658'],FALSE,FALSE,FALSE
R_DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),DMPPS,,['1.17.1.2'],,FALSE,FALSE,FALSE
R_DMQMT,3-Dimethylubiquinonol 3-methyltransferase,DMQMT,"['28682', '28680', '28679', '28681']",['2.1.1.64'],,FALSE,FALSE,FALSE
R_EDD,6-phosphogluconate dehydratase,EDD,"['17280', '17278', '17277', '17279']",['4.2.1.12'],['R02036'],FALSE,FALSE,FALSE
R_BSORx,Biotin sulfoxide reductase,BSORx,"['30534', '30532', '30533', '30531']",,,FALSE,FALSE,FALSE
R_EDTXS1,Endotoxin Synthesis (lauroyl transferase),EDTXS1,,['2.3.1.241'],,FALSE,FALSE,FALSE
R_DMSOR1,Dimethyl sulfoxide reductase (Menaquinol 8),DMSOR1,"['29206', '29203', '29204', '29205']",,,FALSE,FALSE,FALSE
R_BSORy,Biotin sulfoxide reductase,BSORy,"['30538', '30537', '30535', '30536']",['1.-.-.-'],['R10127'],FALSE,FALSE,FALSE
R_EDTXS2,Endotoxin Synthesis (myristoyl transferase),EDTXS2,,['2.3.1.243'],,FALSE,FALSE,FALSE
R_DMSOR2,Dimethyl sulfoxide reductase (Demethylmenaquinol 8),DMSOR2,"['30589', '30587', '30590', '30588']",,,FALSE,FALSE,FALSE
R_ENO,Enolase,ENO,"['10166', '10165', '10164', '10167']",['4.2.1.11'],['R00658'],FALSE,FALSE,FALSE
R_DNMPPA,Dihydroneopterin monophosphate dephosphorylase,DNMPPA,"['25308', '25309', '25306', '25307']","['3.6.1', '3.6.1.-']",['R04621'],FALSE,FALSE,FALSE
R_BUTCT,Acetyl-CoA:butyrate-CoA transferase,BUTCT,,['2.8.3.8'],,FALSE,FALSE,FALSE
R_DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,DNTPPA,"['25302', '25305', '25303', '25304']",['3.6.1.67'],['R04638'],FALSE,FALSE,FALSE
R_DOGULNR,"2,3 dioxo-L-gulonate reductase",DOGULNR,"['21927', '21925', '21926', '21924']",['1.1.1.130'],['R02637'],FALSE,FALSE,FALSE
R_ENTCS_1,Enterochelin synthase,ENTCS_1,"['28566', '28569', '28568', '28567']",,,FALSE,FALSE,FALSE
R_DPCOAK,Dephospho-CoA kinase,DPCOAK,"['18248', '18245', '18247', '18246']",['2.7.1.24'],['R00130'],FALSE,FALSE,FALSE
R_DPR,2-dehydropantoate 2-reductase,DPR,"['16233', '16234', '16235', '16236']",['1.1.1.169'],['R02472'],FALSE,FALSE,FALSE
R_ETHAAL,Ethanolamine ammonia-lyase,ETHAAL,"['15313', '15314', '15316', '15315']",['4.3.1.7'],['R00749'],FALSE,FALSE,FALSE
R_DRPA,Deoxyribose-phosphate aldolase,DRPA,"['12823', '12822', '12821', '12824']",['4.1.2.4'],['R01066'],FALSE,FALSE,FALSE
R_DTMPK,DTMP kinase,DTMPK,"['13520', '13518', '13517', '13519']","['2.7.4.13', '2.7.4.12', '2.7.4.9']",['R02094'],FALSE,FALSE,FALSE
R_DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),DURIK1,"['28209', '28206', '28207', '28208']","['2.7.1.145', '2.7.1.21']",['R02099'],FALSE,FALSE,FALSE
R_DURIPP,Deoxyuridine phosphorylase,DURIPP,"['22825', '22824', '22827', '22826']","['2.4.2.3', '2.4.2.1', '2.4.2.4', '2.4.2.2']",['R02484'],FALSE,FALSE,FALSE
R_DUTPDP,DUTP diphosphatase,DUTPDP,"['10251', '10249', '10250', '10248']","['3.6.1.-', '3.6.1.23', '3.6.1.9']",['R02100'],FALSE,FALSE,FALSE
R_DXPRIi,1-deoxy-D-xylulose reductoisomerase,DXPRIi,"['13720', '13717', '13718', '13719']",['1.1.1.267'],['R05688'],FALSE,FALSE,FALSE
R_DXPS,1-deoxy-D-xylulose 5-phosphate synthase,DXPS,"['12605', '12607', '12608', '12606']",['2.2.1.7'],['R05636'],FALSE,FALSE,FALSE
R_DXYLK,1-Deoxy-D-xylulose kinase,DXYLK,"['27991', '27990', '27993', '27992']",['2.7.1'],,FALSE,FALSE,FALSE
R_E4PD,Erythrose 4-phosphate dehydrogenase,E4PD,"['12058', '12057', '12059', '12056']",['1.2.1.72'],['R01825'],FALSE,FALSE,FALSE
R_EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,EDA,"['17092', '17091', '17089', '17090']","['4.1.2.14', '4.1.2.55']",['R05605'],FALSE,FALSE,FALSE
R_FBP,Fructose-bisphosphatase,FBP,"['11067', '11065', '11066', '11064']",['3.1.3.11'],,FALSE,FALSE,FALSE
R_FCI,L-fucose isomerase,FCI,,['5.3.1.3'],,FALSE,FALSE,FALSE
R_FCLK,L-fuculokinase,FCLK,"['12376', '12378', '12379', '12377']",['2.7.1.51'],['R03241'],FALSE,FALSE,FALSE
R_FCLPA,L-fuculose 1-phosphate aldolase,FCLPA,"['12934', '12936', '12935', '12933']",['4.1.2.17'],['R02262'],FALSE,FALSE,FALSE
R_FCLT,Ferrochelatase,FCLT,"['22585', '22586', '22584', '22587']",['4.99.1.1'],['R00310'],FALSE,FALSE,FALSE
R_FDH2,Formate dehydrogenase (quinone-8: 2 protons),FDH2,,['1.2.2.1'],,FALSE,FALSE,FALSE
R_FDH3,Formate Dehydrogenase (menaquinone-8: 2 protons),FDH3,,['1.2.2.1'],,FALSE,FALSE,FALSE
R_FFSD,Beta-fructofuranosidase,FFSD,,['3.2.1.26'],['R03921'],FALSE,FALSE,FALSE
R_FHL,Formate-hydrogen lyase,FHL,"['27611', '27610', '27613', '27612']",,,FALSE,FALSE,FALSE
R_FMNAT,FMN adenylyltransferase,FMNAT,"['17239', '17240', '17238', '17237']",['2.7.7.2'],['R00161'],FALSE,FALSE,FALSE
R_FRD2,Fumarate reductase,FRD2,"['29216', '29215', '29218', '29217']",,,FALSE,FALSE,FALSE
R_FRD3,Fumarate reductase,FRD3,,['1.3.99.1'],,FALSE,FALSE,FALSE
R_FRUK,Fructose-1-phosphate kinase,FRUK,"['14216', '14213', '14214', '14215']",['2.7.1.56'],,FALSE,FALSE,FALSE
R_FTHFD,Formyltetrahydrofolate deformylase,FTHFD,"['19833', '19835', '19834', '19836']",['3.5.1.10'],['R00944'],FALSE,FALSE,FALSE
R_FUM,Fumarase,FUM,"['12463', '12461', '12462', '12460']",['4.2.1.2'],['R01082'],FALSE,FALSE,FALSE
R_G1PACT,Glucosamine-1-phosphate N-acetyltransferase,G1PACT,,"['2.3.1.4', '2.3.1.157']",,FALSE,FALSE,FALSE
R_G1PP,Glucose-1-phosphatase,G1PP,"['19933', '19936', '19935', '19934']",['3.1.3.10'],['R00304'],FALSE,FALSE,FALSE
R_G1PTT,Glucose-1-phosphate thymidylyltransferase,G1PTT,"['15226', '15227', '15225', '15228']",['2.7.7.24'],['R02328'],FALSE,FALSE,FALSE
R_G1SAT,Glutamate-1-semialdehyde aminotransferase,G1SAT,"['14265', '14267', '14268', '14266']",['5.4.3.8'],['R02272'],FALSE,FALSE,FALSE
R_G3PD2,Glycerol-3-phosphate dehydrogenase (NADP),G3PD2,"['11096', '11099', '11098', '11097']",['1.1.1.94'],['R00844'],FALSE,FALSE,FALSE
R_G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),G3PD5,"['28753', '28752', '28754', '28751']",,,FALSE,FALSE,FALSE
R_G3PD6,Glycerol-3-phosphate dehydrogenase (menaquinone-8),G3PD6,"['29223', '29226', '29225', '29224']",,,FALSE,FALSE,FALSE
R_G3PD7,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),G3PD7,,['1.1.99.5'],,FALSE,FALSE,FALSE
R_G5SADs,L-glutamate 5-semialdehyde dehydratase (spontaneous),G5SADs,"['28237', '28234', '28235', '28236']",,['R03314'],FALSE,FALSE,FALSE
R_G5SD,Glutamate-5-semialdehyde dehydrogenase,G5SD,"['19541', '19543', '19544', '19542']",['1.2.1.41'],['R03313'],FALSE,FALSE,FALSE
R_G6PDA,Glucosamine-6-phosphate deaminase,G6PDA,,['3.5.99.6'],['R00765'],FALSE,FALSE,FALSE
R_G6PDH2r,Glucose 6-phosphate dehydrogenase,G6PDH2r,"['15842', '15843', '15841', '15844']","['1.1.1.363', '1.1.1.49']",['R00835'],FALSE,FALSE,FALSE
R_GALCTD,Galactarate dehydratase,GALCTD,"['16008', '16006', '16005', '16007']",['4.2.1.42'],['R05608'],FALSE,FALSE,FALSE
R_GALCTND,Galactonate dehydratase,GALCTND,"['18651', '18652', '18649', '18650']","['4.2.1.140', '4.2.1.6']",['R03033'],FALSE,FALSE,FALSE
R_GALKr,Galactokinase,GALKr,"['13556', '13554', '13555', '13553']",['2.7.1.6'],['R01092'],FALSE,FALSE,FALSE
R_GALS3,A-galactosidase (melibiose),GALS3,,['3.2.1.22'],,FALSE,FALSE,FALSE
R_GALUi_copy1,UTP-glucose-1-phosphate uridylyltransferase (irreversible),GALUi,"['19889', '19892', '19890', '19891']","['2.7.7.9', '2.7.7.64']",['R00289'],FALSE,FALSE,FALSE
R_GALUi_copy2,UTP-glucose-1-phosphate uridylyltransferase (irreversible),GALUi,"['19889', '19892', '19890', '19891']","['2.7.7.9', '2.7.7.64']",['R00289'],FALSE,FALSE,FALSE
R_GAPD,Glyceraldehyde-3-phosphate dehydrogenase,GAPD,"['10303', '10300', '10302', '10301']","['1.2.1.12', '1.2.1.59']",['R01061'],FALSE,FALSE,FALSE
R_GARFT,Phosphoribosylglycinamide formyltransferase,GARFT,"['15053', '15054', '15055', '15056']",['2.1.2.2'],['R04325'],FALSE,FALSE,FALSE
R_GART,GAR transformylase-T,GART,"['24830', '24832', '24831', '24829']","['2.1.2.-', '2.1.2']",['R06974'],FALSE,FALSE,FALSE
R_GCALDD,Glycolaldehyde dehydrogenase,GCALDD,"['20004', '20002', '20001', '20003']",['1.2.1.21'],['R01333'],FALSE,FALSE,FALSE
R_GDMANE,GDP-4-dehydro-6-deoxy-D-mannose epimerase,GDMANE,,['5'],,FALSE,FALSE,FALSE
R_GLCS1,Glycogen synthase (ADPGlc),GLCS1,,['2.4.1.21'],,FALSE,FALSE,FALSE
R_GF6PTA,Glutamine-fructose-6-phosphate transaminase,GF6PTA,,['2.6.1.16'],,FALSE,FALSE,FALSE
R_GHMT2r,"Glycine hydroxymethyltransferase, reversible",GHMT2r,"['15481', '15483', '15484', '15482']",['2.1.2.1'],['R00945'],FALSE,FALSE,FALSE
R_GK1,Guanylate kinase (GMP:ATP),GK1,"['20783', '20782', '20780', '20781']",['2.7.4.8'],['R00332'],FALSE,FALSE,FALSE
R_GLGC,Glucose-1-phosphate adenylyltransferase,GLGC,"['12122', '12121', '12120', '12123']",['2.7.7.27'],['R00948'],FALSE,FALSE,FALSE
R_GLNS,Glutamine synthetase,GLNS,"['16172', '16171', '16169', '16170']",['6.3.1.2'],['R00253'],FALSE,FALSE,FALSE
R_GLCRAL,5-dehydro-4-deoxyglucarate aldolase,GLCRAL,"['27727', '27726', '27728', '27729']",['4.1.2.20'],['R02754'],FALSE,FALSE,FALSE
R_GLCRD,Glucarate dehydratase,GLCRD,"['14574', '14576', '14573', '14575']",['4.2.1.40'],['R02752'],FALSE,FALSE,FALSE
R_GLTPD,Galactitol-1-phosphate dehydrogenase,GLTPD,,"['1.1.1.251', '1.1.1.M6']",['R05571'],FALSE,FALSE,FALSE
R_GLU5K,Glutamate 5-kinase,GLU5K,"['14878', '14880', '14877', '14879']",['2.7.2.11'],['R00239'],FALSE,FALSE,FALSE
R_GLUABUTt7,4-aminobutyrate/glutamate antiport,GLUABUTt7,"['28919', '28920', '28922', '28921']",,,FALSE,FALSE,FALSE
R_GLUCYS,Gamma-glutamylcysteine synthetase,GLUCYS,"['13285', '13287', '13286', '13288']",['6.3.2.2'],['R00894'],FALSE,FALSE,FALSE
R_GUAD,Guanine deaminase,GUAD,"['14665', '14667', '14668', '14666']",['3.5.4.3'],['R01676'],FALSE,FALSE,FALSE
R_GUAPRT,Guanine phosphoribosyltransferase,GUAPRT,"['25427', '25426', '25424', '25425']","['2.4.2.8', '2.4.2.7', '2.4.2.22']",['R01229'],FALSE,FALSE,FALSE
R_GLUDC,Glutamate Decarboxylase,GLUDC,"['17787', '17785', '17786', '17788']",['4.1.1.15'],['R00261'],FALSE,FALSE,FALSE
R_GLUDy,Glutamate dehydrogenase (NADP),GLUDy,"['11613', '11614', '11612', '11615']","['1.4.1.13', '1.4.1.3', '1.4.1.4']",['R00248'],FALSE,FALSE,FALSE
R_GLUN,Glutaminase,GLUN,"['15892', '15889', '15891', '15890']","['6.3.5.2', '4.3.3.6', '6.3.5.5', '1.4.7.1', '6.3.5.4', '3.5.1.2', '6.3.4.2', '1.4.1.13', '3.5.1.38']",['R00256'],FALSE,FALSE,FALSE
R_GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,GLUPRT,"['14905', '14908', '14906', '14907']",['2.4.2.14'],['R01072'],FALSE,FALSE,FALSE
R_GUI1,Glucuronate isomerase (D-glucuronate),GUI1,"['13051', '13050', '13049', '13052']",['5.3.1.12'],['R01482'],FALSE,FALSE,FALSE
R_GLUR,Glutamate racemase,GLUR,"['12813', '12814', '12815', '12816']",['5.1.1.3'],['R00260'],FALSE,FALSE,FALSE
R_GLUSy,Glutamate synthase (NADPH),GLUSy,"['15503', '15501', '15504', '15502']",['1.4.1.13'],['R00114'],FALSE,FALSE,FALSE
R_GLUTRR,Glutamyl-tRNA reductase,GLUTRR,,['1.2.1.70'],['R04109'],FALSE,FALSE,FALSE
R_GLUTRS,Glutamyl-tRNA synthetase,GLUTRS,,"['6.1.1', '6.1.1.17', '6.1.1.24']",['R05578'],FALSE,FALSE,FALSE
R_GUI2,Glucuronate isomerase (D-galacturonate),GUI2,,['5.3.1.12'],['R01983'],FALSE,FALSE,FALSE
R_GLUt4,Na+/glutamate symport,GLUt4,"['29034', '29033', '29032', '29031']",,,FALSE,FALSE,FALSE
R_GLXCL,Glyoxalate carboligase,GLXCL,"['10138', '10139', '10137', '10136']",['4.1.1.47'],['R00013'],FALSE,FALSE,FALSE
R_HBZOPT,Hydroxybenzoate octaprenyltransferase,HBZOPT,"['27783', '27785', '27784', '27782']",['2.5.1.39'],['R05615'],FALSE,FALSE,FALSE
R_HCO3E,HCO3 equilibration reaction,HCO3E,"['10749', '10748', '10750', '10751']",['4.2.1.1'],"['R10092', 'R00132']",FALSE,FALSE,FALSE
R_GLYAT,Glycine C-acetyltransferase,GLYAT,"['20736', '20737', '20738', '20739']","['2.3.1.29', '2.3.1.37']",['R00371'],FALSE,FALSE,FALSE
R_HEMEOS,Heme O synthase,HEMEOS,"['28073', '28070', '28071', '28072']",['2.5.1.-'],['R07411'],FALSE,FALSE,FALSE
R_GLYC3Pt6,Glycerol-3-phosphate : phosphate antiporter,GLYC3Pt6,"['29016', '29015', '29018', '29017']",,,FALSE,FALSE,FALSE
R_HETZK,Hydroxyethylthiazole kinase,HETZK,"['24213', '24215', '24214', '24212']",['2.7.1.50'],['R04448'],FALSE,FALSE,FALSE
R_HEX1,Hexokinase (D-glucose:ATP),HEX1,"['17827', '17828', '17826', '17825']","['2.7.1.1', '2.7.1.2']",['R00299'],FALSE,FALSE,FALSE
R_GLYCDx,Glycerol dehydrogenase,GLYCDx,"['13770', '13772', '13769', '13771']",['1.1.1.6'],['R01034'],FALSE,FALSE,FALSE
R_GLYCK,Glycerate kinase,GLYCK,"['23518', '23519', '23516', '23517']",['2.7.1.31'],['R01514'],FALSE,FALSE,FALSE
R_GLYCL,Glycine Cleavage System,GLYCL,"['27760', '27759', '27761', '27758']","['1.4.4.2', '1.8.1.4', '2.1.2.10']",['R01221'],FALSE,FALSE,FALSE
R_GLYCLTDx,Glycolate dehydrogenase (NAD),GLYCLTDx,"['18231', '18230', '18232', '18229']","['1.1.1.79', '1.1.1.26', '1.1.1.29']",['R00717'],FALSE,FALSE,FALSE
R_HISTD,Histidinol dehydrogenase,HISTD,"['20641', '20642', '20643', '20644']",['1.1.1.23'],['R01158'],FALSE,FALSE,FALSE
R_HISTP,Histidinol-phosphatase,HISTP,"['14466', '14467', '14468', '14465']",['3.1.3.15'],['R03013'],FALSE,FALSE,FALSE
R_GLYCLTDy,Glycolate dehydrogenase (NADP),GLYCLTDy,"['10995', '10994', '10993', '10992']",['1.1.1.79'],['R00465'],FALSE,FALSE,FALSE
R_HKNDDH_1,"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase",HKNDDH_1,,['3.7.1.14'],,FALSE,FALSE,FALSE
R_HKNTDH_1,2-hydroxy-6-ketononotrienedioate hydrolase,HKNTDH_1,,['3.7.1.14'],,FALSE,FALSE,FALSE
R_HMBS,Hydroxymethylbilane synthase,HMBS,"['13187', '13186', '13185', '13188']","['2.5.1.61', '4.3.1.8']",['R00084'],FALSE,FALSE,FALSE
R_GLYK,Glycerol kinase,GLYK,"['21644', '21645', '21647', '21646']",['2.7.1.30'],['R00847'],FALSE,FALSE,FALSE
R_HMPK1,Hydroxymethylpyrimidine kinase (ATP),HMPK1,,['2.7.1.49'],,FALSE,FALSE,FALSE
R_HOPNTAL,4-hydroxy-2-oxopentanoate aldolase,HOPNTAL,,"['4.1.3.39', '4.1.2.n4', '4.1.2']",['R00750'],FALSE,FALSE,FALSE
R_GLYOX,Hydroxyacylglutathione hydrolase,GLYOX,"['25246', '25247', '25245', '25248']",['3.1.2.6'],['R01736'],FALSE,FALSE,FALSE
R_HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,HPPK2,"['11413', '11412', '11415', '11414']",['2.7.6.3'],['R03503'],FALSE,FALSE,FALSE
R_HPPPNDO_1,"2,3-dihydroxypheylpropionate 1,2-dioxygenase",HPPPNDO_1,"['23840', '23843', '23841', '23842']",['1.13.11.16'],['R04376'],FALSE,FALSE,FALSE
R_GMAND,GDP-D-mannose dehydratase,GMAND,"['23823', '23822', '23820', '23821']",['4.2.1.47'],['R00888'],FALSE,FALSE,FALSE
R_GMHEPAT,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,GMHEPAT,"['27468', '27466', '27467', '27465']",['2.7.7.70'],['R05644'],FALSE,FALSE,FALSE
R_HPYRI,Hydroxypyruvate isomerase,HPYRI,"['11955', '11954', '11953', '11952']",['5.3.1.22'],['R01394'],FALSE,FALSE,FALSE
R_HPYRRx,Hydroxypyruvate reductase (NADH),HPYRRx,"['17906', '17907', '17905', '17908']","['1.1.1.26', '1.1.1.29', '1.1.1.81']",['R01388'],FALSE,FALSE,FALSE
R_GMPR,GMP reductase,GMPR,"['17186', '17188', '17187', '17185']",['1.7.1.7'],['R01134'],FALSE,FALSE,FALSE
R_GMPS2,GMP synthase,GMPS2,"['11680', '11682', '11681', '11683']",['6.3.5.2'],['R01231'],FALSE,FALSE,FALSE
R_HPYRRy,Hydroxypyruvate reductase (NADPH),HPYRRy,"['18660', '18659', '18657', '18658']","['1.1.1.79', '1.1.1', '1.1.1.81']",['R01392'],FALSE,FALSE,FALSE
R_HSDy,Homoserine dehydrogenase (NADPH),HSDy,"['15761', '15764', '15763', '15762']",['1.1.1.3'],['R01775'],FALSE,FALSE,FALSE
R_HSK,Homoserine kinase,HSK,"['13985', '13987', '13986', '13988']",['2.7.1.39'],['R01771'],FALSE,FALSE,FALSE
R_HSST,Homoserine O-succinyltransferase,HSST,"['22010', '22011', '22009', '22008']",['2.3.1.46'],['R01777'],FALSE,FALSE,FALSE
R_GND,Phosphogluconate dehydrogenase,GND,"['10116', '10117', '10118', '10119']","['1.1.1.44', '1.1.1.351']",['R01528'],FALSE,FALSE,FALSE
R_GNK,Gluconokinase,GNK,"['19434', '19436', '19433', '19435']",['2.7.1.12'],['R01737'],FALSE,FALSE,FALSE
R_GOFUCR,GDP-4-oxo-L-fucose reductase,GOFUCR,,['1.1.1.271'],,FALSE,FALSE,FALSE
R_GP4GH,Gp4G hydrolase,GP4GH,"['30204', '30205', '30206', '30203']",,,FALSE,FALSE,FALSE
R_GPDDA1,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),GPDDA1,"['16061', '16063', '16062', '16064']","['3.1.4.46', '3.1.4.2']",['R01030'],FALSE,FALSE,FALSE
R_HSTPT,Histidinol-phosphate transaminase,HSTPT,"['23747', '23745', '23744', '23746']",['2.6.1.9'],['R03243'],FALSE,FALSE,FALSE
R_HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),HXPRT,"['17976', '17974', '17973', '17975']",['2.4.2.8'],['R01132'],FALSE,FALSE,FALSE
R_GPDDA2,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),GPDDA2,"['29320', '29322', '29321', '29319']","['3.1.4.46', '3.1.4.2']",['R01470'],FALSE,FALSE,FALSE
R_GPDDA3,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),GPDDA3,"['29877', '29875', '29878', '29876']",['3.1.4.46'],,FALSE,FALSE,FALSE
R_GPDDA4,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),GPDDA4,,['3.1.4.46'],,FALSE,FALSE,FALSE
R_HYD1,Hydrogenase (ubiquinone-8: 2 protons),HYD1,"['29062#1', '29061#1', '29059#1', '29060#1']",,,FALSE,FALSE,FALSE
R_HYD2,Hydrogenase (menaquinone8: 2 protons),HYD2,"['29052#1', '29051#1', '29054#1', '29053#1']",,,FALSE,FALSE,FALSE
R_HYD3,Hydrogenase (Demethylmenaquinone-8: 2 protons),HYD3,,['1.18.99.1'],,FALSE,FALSE,FALSE
R_GPDDA5,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),GPDDA5,"['16502', '16501', '16503', '16504']",['3.1.4.44'],['R01193'],FALSE,FALSE,FALSE
R_GRTT,Geranyltranstransferase,GRTT,"['19361', '19364', '19362', '19363']",['2.5.1.10'],['R02003'],FALSE,FALSE,FALSE
R_HYPOE,Hypothetical enyme,HYPOE,"['25135', '25138', '25137', '25136']",['3.1.3.74'],['R02494'],FALSE,FALSE,FALSE
R_GSNK,Guanosine kinase,GSNK,"['27711', '27710', '27712', '27713']",['2.7.1.73'],['R01228'],FALSE,FALSE,FALSE
R_GSPMDA,Glutathionylspermidine amidase,GSPMDA,"['17175', '17173', '17174', '17176']","['3.5.1.-', '3.5.1.78']",['R01918'],FALSE,FALSE,FALSE
R_ICDHyr,Isocitrate dehydrogenase (NADP),ICDHyr,"['19629', '19630', '19631', '19632']",['1.1.1.42'],['R00267'],FALSE,FALSE,FALSE
R_ICHORS,Isochorismate synthase,ICHORS,"['18986', '18985', '18988', '18987']",['5.4.4.2'],['R01717'],FALSE,FALSE,FALSE
R_ICHORT,Isochorismatase,ICHORT,"['11112', '11115', '11114', '11113']",['3.3.2.1'],['R03037'],FALSE,FALSE,FALSE
R_ICL,Isocitrate lyase,ICL,"['13248', '13245', '13246', '13247']",['4.1.3.1'],['R00479'],FALSE,FALSE,FALSE
R_GSPMDS,Glutathionylspermidine synthetase,GSPMDS,"['21272', '21273', '21274', '21275']","['6.3.1.8', '6.3.1.9']",['R01917'],FALSE,FALSE,FALSE
R_GTHOr,Glutathione oxidoreductase,GTHOr,"['11740', '11743', '11742', '11741']",['1.8.1.7'],['R00115'],FALSE,FALSE,FALSE
R_IDOND,L-idonate 5-dehydrogenase,IDOND,"['21175', '21173', '21174', '21172']","['1.1.1.264', '1.1.1.366']",['R05683'],FALSE,FALSE,FALSE
R_IDOND2,L-indonate 5-dehydrogenase (NADP),IDOND2,"['21176', '21179', '21177', '21178']",['1.1.1.264'],['R05684'],FALSE,FALSE,FALSE
R_IG3PS,Imidazole-glycerol-3-phosphate synthase,IG3PS,"['24796', '24794', '24793', '24795']","['4.1.3.-', '4.3.2.M2', '2.4.2.-']",['R04558'],FALSE,FALSE,FALSE
R_GTHS,Glutathione synthetase,GTHS,"['13558', '13557', '13560', '13559']",['6.3.2.3'],['R00497'],FALSE,FALSE,FALSE
R_GTPCI_1,GTP cyclohydrolase I,GTPCI_1,"['17476', '17473', '17474', '17475']",['3.5.4.16'],['R00424'],FALSE,FALSE,FALSE
R_IGPDH,Imidazoleglycerol-phosphate dehydratase,IGPDH,"['11041', '11043', '11040', '11042']",['4.2.1.19'],['R03457'],FALSE,FALSE,FALSE
R_IGPS,Indole-3-glycerol-phosphate synthase,IGPS,"['23476', '23479', '23477', '23478']",['4.1.1.48'],['R03508'],FALSE,FALSE,FALSE
R_GTPCII2,GTP cyclohydrolase II (25drapp),GTPCII2,"['23707', '23705', '23706', '23704']",['3.5.4.25'],['R00425'],FALSE,FALSE,FALSE
R_ILETA,Isoleucine transaminase,ILETA,"['24803', '24802', '24804', '24801']",['2.6.1.42'],['R02199'],FALSE,FALSE,FALSE
R_IMPC,IMP cyclohydrolase,IMPC,"['18446', '18445', '18447', '18448']","['2.1.2.3', '3.5.4.10']",['R01127'],FALSE,FALSE,FALSE
R_KARA2,Ketol-acid reductoisomerase (2-Acetolactate),KARA2,"['13496', '13494', '13495', '13493']",['1.1.1.86'],,FALSE,FALSE,FALSE
R_KAS14,Beta-ketoacyl-ACP synthase,KAS14,,"['2.3.1.180', '2.3.1.85', '2.3.1.86', '2.3.1.179', '2.3.1.-', '2.3.1.41']",['R04355'],FALSE,FALSE,FALSE
R_KAS15,Beta-ketoacyl-ACP synthase (2),KAS15,,['2.3.1.180'],['R10707'],FALSE,FALSE,FALSE
R_IMPD,IMP dehydrogenase,IMPD,"['11711', '11710', '11708', '11709']",['1.1.1.205'],['R01130'],FALSE,FALSE,FALSE
R_INSK,Insosine kinase,INSK,"['21142', '21143', '21141', '21140']",['2.7.1.73'],['R01131'],FALSE,FALSE,FALSE
R_KDOCT2,3-deoxy-manno-octulosonate cytidylyltransferase,KDOCT2,"['23449', '23448', '23451', '23450']",['2.7.7.38'],,FALSE,FALSE,FALSE
R_KDOPP,3-deoxy-manno-octulosonate-8-phosphatase,KDOPP,"['11501', '11503', '11502', '11500']",['3.1.3.45'],,FALSE,FALSE,FALSE
R_KDOPS,3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase,KDOPS,"['14054', '14053', '14055', '14056']",['2.5.1.55'],['R03254'],FALSE,FALSE,FALSE
R_KG6PDC,3-keto-L-gulonate 6-phosphate decarboxylase,KG6PDC,"['14353', '14356', '14354', '14355']",['4.1.1.85'],['R07125'],FALSE,FALSE,FALSE
