bigg_id,name,database_links,kegg,ec,rhea
GLUSy,Glutamate synthase (NADPH),EC Number: http://identifiers.org/ec-code/1.4.1.13; RHEA: http://identifiers.org/rhea/15501; RHEA: http://identifiers.org/rhea/15502; RHEA: http://identifiers.org/rhea/15503; RHEA: http://identifiers.org/rhea/15504; BioCyc: http://identifiers.org/biocyc/META:GLUTAMATESYN-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100291; KEGG Reaction: http://identifiers.org/kegg.reaction/R00114; SEED Reaction: http://identifiers.org/seed.reaction/rxn00085,R00114,1.4.1.13,15504
GLUTRS,Glutamyl-tRNA synthetase,EC Number: http://identifiers.org/ec-code/6.1.1; EC Number: http://identifiers.org/ec-code/6.1.1.17; EC Number: http://identifiers.org/ec-code/6.1.1.24; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100295; Reactome Reaction: http://identifiers.org/reactome/R-HSA-379861; Reactome Reaction: http://identifiers.org/reactome/R-HSA-380216; KEGG Reaction: http://identifiers.org/kegg.reaction/R05578; SEED Reaction: http://identifiers.org/seed.reaction/rxn06937,R05578,6.1.1.24,
GLUabcpp,L-glutamate transport via ABC system (periplasm),RHEA: http://identifiers.org/rhea/29035#1; RHEA: http://identifiers.org/rhea/29036#1; RHEA: http://identifiers.org/rhea/29037#1; RHEA: http://identifiers.org/rhea/29038#1; EC Number: http://identifiers.org/ec-code/3.6.3.21; BioCyc: http://identifiers.org/biocyc/META:ABC-13-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100299; SEED Reaction: http://identifiers.org/seed.reaction/rxn05146; SEED Reaction: http://identifiers.org/seed.reaction/rxn08627; SEED Reaction: http://identifiers.org/seed.reaction/rxn11235,,3.6.3.21,29038#1
GLXCL,Glyoxalate carboligase,RHEA: http://identifiers.org/rhea/10136; RHEA: http://identifiers.org/rhea/10137; RHEA: http://identifiers.org/rhea/10138; RHEA: http://identifiers.org/rhea/10139; EC Number: http://identifiers.org/ec-code/4.1.1.47; BioCyc: http://identifiers.org/biocyc/META:GLYOCARBOLIG-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100303; KEGG Reaction: http://identifiers.org/kegg.reaction/R00013; SEED Reaction: http://identifiers.org/seed.reaction/rxn00010,R00013,4.1.1.47,10139
GLYBabcpp,Glycine betaine transport via ABC system (periplasm),RHEA: http://identifiers.org/rhea/32783#1; RHEA: http://identifiers.org/rhea/32784#1; RHEA: http://identifiers.org/rhea/32785#1; RHEA: http://identifiers.org/rhea/32786#1; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN-283; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100314; SEED Reaction: http://identifiers.org/seed.reaction/rxn05181; SEED Reaction: http://identifiers.org/seed.reaction/rxn08637; SEED Reaction: http://identifiers.org/seed.reaction/rxn11216,,,32786#1
GLYBtex,Glycine betaine transport via diffusion (extracellular to periplasm),RHEA: http://identifiers.org/rhea/28943; RHEA: http://identifiers.org/rhea/28944; RHEA: http://identifiers.org/rhea/28945; RHEA: http://identifiers.org/rhea/28946; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-490; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100317; Reactome Reaction: http://identifiers.org/reactome/R-HSA-6797957; SEED Reaction: http://identifiers.org/seed.reaction/rxn08639; SEED Reaction: http://identifiers.org/seed.reaction/rxn12430,,,28946
GLYC3Pt6pp,Glycerol-3-phosphate : phosphate antiporter (periplasm),RHEA: http://identifiers.org/rhea/29015; RHEA: http://identifiers.org/rhea/29016; RHEA: http://identifiers.org/rhea/29017; RHEA: http://identifiers.org/rhea/29018; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN-22; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100321; SEED Reaction: http://identifiers.org/seed.reaction/rxn08642; SEED Reaction: http://identifiers.org/seed.reaction/rxn10165,,,29018
GLYCDx,Glycerol dehydrogenase,EC Number: http://identifiers.org/ec-code/1.1.1.6; RHEA: http://identifiers.org/rhea/13769; RHEA: http://identifiers.org/rhea/13770; RHEA: http://identifiers.org/rhea/13771; RHEA: http://identifiers.org/rhea/13772; BioCyc: http://identifiers.org/biocyc/META:GLYCDEH-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100326; KEGG Reaction: http://identifiers.org/kegg.reaction/R01034; SEED Reaction: http://identifiers.org/seed.reaction/rxn00762,R01034,1.1.1.6,13772
GLYCK,Glycerate kinase,EC Number: http://identifiers.org/ec-code/2.7.1.31; RHEA: http://identifiers.org/rhea/23516; RHEA: http://identifiers.org/rhea/23517; RHEA: http://identifiers.org/rhea/23518; RHEA: http://identifiers.org/rhea/23519; BioCyc: http://identifiers.org/biocyc/META:GLY3KIN-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100328; Reactome Reaction: http://identifiers.org/reactome/R-BTA-6799495; Reactome Reaction: http://identifiers.org/reactome/R-CEL-6799495; Reactome Reaction: http://identifiers.org/reactome/R-CFA-6799495; Reactome Reaction: http://identifiers.org/reactome/R-DME-6799495; Reactome Reaction: http://identifiers.org/reactome/R-DRE-6799495; Reactome Reaction: http://identifiers.org/reactome/R-GGA-6799495; Reactome Reaction: http://identifiers.org/reactome/R-HSA-6799495; Reactome Reaction: http://identifiers.org/reactome/R-MMU-6799495; Reactome Reaction: http://identifiers.org/reactome/R-RNO-6799495; Reactome Reaction: http://identifiers.org/reactome/R-SSC-6799495; Reactome Reaction: http://identifiers.org/reactome/R-TGU-6799495; Reactome Reaction: http://identifiers.org/reactome/R-XTR-6799495; KEGG Reaction: http://identifiers.org/kegg.reaction/R01514; SEED Reaction: http://identifiers.org/seed.reaction/rxn01102,R01514,2.7.1.31,23519
GLYCK2,Glycerate kinase,EC Number: http://identifiers.org/ec-code/2.7.1.165; EC Number: http://identifiers.org/ec-code/2.7.1.31; RHEA: http://identifiers.org/rhea/27377; RHEA: http://identifiers.org/rhea/27378; RHEA: http://identifiers.org/rhea/27379; RHEA: http://identifiers.org/rhea/27380; BioCyc: http://identifiers.org/biocyc/META:GKI-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100329; KEGG Reaction: http://identifiers.org/kegg.reaction/R08572; SEED Reaction: http://identifiers.org/seed.reaction/rxn08647,R08572,2.7.1.31,27380
GLYCL,Glycine Cleavage System,EC Number: http://identifiers.org/ec-code/1.4.4.2; EC Number: http://identifiers.org/ec-code/1.8.1.4; EC Number: http://identifiers.org/ec-code/2.1.2.10; RHEA: http://identifiers.org/rhea/27758; RHEA: http://identifiers.org/rhea/27759; RHEA: http://identifiers.org/rhea/27760; RHEA: http://identifiers.org/rhea/27761; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100330; KEGG Reaction: http://identifiers.org/kegg.reaction/R01221,R01221,2.1.2.10,27761
GLYCLTDx,Glycolate dehydrogenase (NAD),EC Number: http://identifiers.org/ec-code/1.1.1.26; EC Number: http://identifiers.org/ec-code/1.1.1.29; EC Number: http://identifiers.org/ec-code/1.1.1.79; RHEA: http://identifiers.org/rhea/18229; RHEA: http://identifiers.org/rhea/18230; RHEA: http://identifiers.org/rhea/18231; RHEA: http://identifiers.org/rhea/18232; BioCyc: http://identifiers.org/biocyc/META:GLYCOLATE-REDUCTASE-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100331; KEGG Reaction: http://identifiers.org/kegg.reaction/R00717; SEED Reaction: http://identifiers.org/seed.reaction/rxn00512,R00717,1.1.1.79,18232
GLYCLTtex,Glycolate transport via diffusion (extracellular to periplasm),RHEA: http://identifiers.org/rhea/29447; RHEA: http://identifiers.org/rhea/29448; RHEA: http://identifiers.org/rhea/29449; RHEA: http://identifiers.org/rhea/29450; BioCyc: http://identifiers.org/biocyc/META:RXN0-5111; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100333; SEED Reaction: http://identifiers.org/seed.reaction/rxn08653; SEED Reaction: http://identifiers.org/seed.reaction/rxn12426,,,29450
GLYCtex,Glycerol transport via diffusion (extracellular to periplasm),RHEA: http://identifiers.org/rhea/29675; RHEA: http://identifiers.org/rhea/29676; RHEA: http://identifiers.org/rhea/29677; RHEA: http://identifiers.org/rhea/29678; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN-131; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100343; Reactome Reaction: http://identifiers.org/reactome/R-BTA-432049; Reactome Reaction: http://identifiers.org/reactome/R-BTA-432074; Reactome Reaction: http://identifiers.org/reactome/R-BTA-507869; Reactome Reaction: http://identifiers.org/reactome/R-BTA-507871; Reactome Reaction: http://identifiers.org/reactome/R-CEL-432049; Reactome Reaction: http://identifiers.org/reactome/R-CEL-432074; Reactome Reaction: http://identifiers.org/reactome/R-CEL-507869; Reactome Reaction: http://identifiers.org/reactome/R-CEL-507871; Reactome Reaction: http://identifiers.org/reactome/R-CFA-432049; Reactome Reaction: http://identifiers.org/reactome/R-CFA-432074; Reactome Reaction: http://identifiers.org/reactome/R-CFA-507869; Reactome Reaction: http://identifiers.org/reactome/R-CFA-507871; Reactome Reaction: http://identifiers.org/reactome/R-DRE-432049; Reactome Reaction: http://identifiers.org/reactome/R-DRE-432074; Reactome Reaction: http://identifiers.org/reactome/R-DRE-507869; Reactome Reaction: http://identifiers.org/reactome/R-DRE-507871; Reactome Reaction: http://identifiers.org/reactome/R-GGA-432049; Reactome Reaction: http://identifiers.org/reactome/R-GGA-432074; Reactome Reaction: http://identifiers.org/reactome/R-GGA-507869; Reactome Reaction: http://identifiers.org/reactome/R-GGA-507871; Reactome Reaction: http://identifiers.org/reactome/R-HSA-432049; Reactome Reaction: http://identifiers.org/reactome/R-HSA-432074; Reactome Reaction: http://identifiers.org/reactome/R-HSA-507869; Reactome Reaction: http://identifiers.org/reactome/R-HSA-507871; Reactome Reaction: http://identifiers.org/reactome/R-MMU-432049; Reactome Reaction: http://identifiers.org/reactome/R-MMU-432074; Reactome Reaction: http://identifiers.org/reactome/R-MMU-507869; Reactome Reaction: http://identifiers.org/reactome/R-MMU-507871; Reactome Reaction: http://identifiers.org/reactome/R-PFA-432049; Reactome Reaction: http://identifiers.org/reactome/R-PFA-432074; Reactome Reaction: http://identifiers.org/reactome/R-PFA-507869; Reactome Reaction: http://identifiers.org/reactome/R-PFA-507871; Reactome Reaction: http://identifiers.org/reactome/R-RNO-432049; Reactome Reaction: http://identifiers.org/reactome/R-RNO-432074; Reactome Reaction: http://identifiers.org/reactome/R-RNO-507869; Reactome Reaction: http://identifiers.org/reactome/R-RNO-507871; Reactome Reaction: http://identifiers.org/reactome/R-SCE-432049; Reactome Reaction: http://identifiers.org/reactome/R-SCE-432074; Reactome Reaction: http://identifiers.org/reactome/R-SCE-507869; Reactome Reaction: http://identifiers.org/reactome/R-SCE-507871; Reactome Reaction: http://identifiers.org/reactome/R-SPO-432049; Reactome Reaction: http://identifiers.org/reactome/R-SPO-432074; Reactome Reaction: http://identifiers.org/reactome/R-SPO-507869; Reactome Reaction: http://identifiers.org/reactome/R-SPO-507871; Reactome Reaction: http://identifiers.org/reactome/R-SSC-432049; Reactome Reaction: http://identifiers.org/reactome/R-SSC-432074; Reactome Reaction: http://identifiers.org/reactome/R-SSC-507869; Reactome Reaction: http://identifiers.org/reactome/R-SSC-507871; Reactome Reaction: http://identifiers.org/reactome/R-TGU-432049; Reactome Reaction: http://identifiers.org/reactome/R-TGU-432074; Reactome Reaction: http://identifiers.org/reactome/R-TGU-507869; Reactome Reaction: http://identifiers.org/reactome/R-TGU-507871; Reactome Reaction: http://identifiers.org/reactome/R-XTR-432049; Reactome Reaction: http://identifiers.org/reactome/R-XTR-432074; Reactome Reaction: http://identifiers.org/reactome/R-XTR-507869; Reactome Reaction: http://identifiers.org/reactome/R-XTR-507871; SEED Reaction: http://identifiers.org/seed.reaction/rxn05581; SEED Reaction: http://identifiers.org/seed.reaction/rxn08654; SEED Reaction: http://identifiers.org/seed.reaction/rxn08658,,,29678
GLYK,Glycerol kinase,EC Number: http://identifiers.org/ec-code/2.7.1.30; RHEA: http://identifiers.org/rhea/21644; RHEA: http://identifiers.org/rhea/21645; RHEA: http://identifiers.org/rhea/21646; RHEA: http://identifiers.org/rhea/21647; BioCyc: http://identifiers.org/biocyc/META:GLYCEROL-KIN-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100348; Reactome Reaction: http://identifiers.org/reactome/R-ATH-75887; Reactome Reaction: http://identifiers.org/reactome/R-BTA-75887; Reactome Reaction: http://identifiers.org/reactome/R-CEL-75887; Reactome Reaction: http://identifiers.org/reactome/R-CFA-75887; Reactome Reaction: http://identifiers.org/reactome/R-DDI-75887; Reactome Reaction: http://identifiers.org/reactome/R-DME-75887; Reactome Reaction: http://identifiers.org/reactome/R-DRE-75887; Reactome Reaction: http://identifiers.org/reactome/R-GGA-75887; Reactome Reaction: http://identifiers.org/reactome/R-HSA-75887; Reactome Reaction: http://identifiers.org/reactome/R-MMU-75887; Reactome Reaction: http://identifiers.org/reactome/R-OSA-75887; Reactome Reaction: http://identifiers.org/reactome/R-PFA-75887; Reactome Reaction: http://identifiers.org/reactome/R-RNO-75887; Reactome Reaction: http://identifiers.org/reactome/R-SCE-75887; Reactome Reaction: http://identifiers.org/reactome/R-SSC-75887; Reactome Reaction: http://identifiers.org/reactome/R-TGU-75887; Reactome Reaction: http://identifiers.org/reactome/R-XTR-75887; KEGG Reaction: http://identifiers.org/kegg.reaction/R00847; SEED Reaction: http://identifiers.org/seed.reaction/rxn00615,R00847,2.7.1.30,21647
GLYOX,Hydroxyacylglutathione hydrolase,RHEA: http://identifiers.org/rhea/25245; RHEA: http://identifiers.org/rhea/25246; RHEA: http://identifiers.org/rhea/25247; RHEA: http://identifiers.org/rhea/25248; EC Number: http://identifiers.org/ec-code/3.1.2.6; BioCyc: http://identifiers.org/biocyc/META:GLYOXII-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100353; KEGG Reaction: http://identifiers.org/kegg.reaction/R01736; SEED Reaction: http://identifiers.org/seed.reaction/rxn01274,R01736,3.1.2.6,25248
GLYOX3,Glyoxalase III,RHEA: http://identifiers.org/rhea/27754; RHEA: http://identifiers.org/rhea/27755; RHEA: http://identifiers.org/rhea/27756; RHEA: http://identifiers.org/rhea/27757; EC Number: http://identifiers.org/ec-code/4.2.1.130; BioCyc: http://identifiers.org/biocyc/META:GLYOXIII-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100354; KEGG Reaction: http://identifiers.org/kegg.reaction/R09796; SEED Reaction: http://identifiers.org/seed.reaction/rxn08659,R09796,4.2.1.130,27757
GLYt2pp,Glycine transport in via proton symport (periplasm),RHEA: http://identifiers.org/rhea/28899; RHEA: http://identifiers.org/rhea/28900; RHEA: http://identifiers.org/rhea/28901; RHEA: http://identifiers.org/rhea/28902; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN-62B; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100368; SEED Reaction: http://identifiers.org/seed.reaction/rxn05582; SEED Reaction: http://identifiers.org/seed.reaction/rxn08660; SEED Reaction: http://identifiers.org/seed.reaction/rxn09748,,,28902
GMAND,GDP-D-mannose dehydratase,RHEA: http://identifiers.org/rhea/23820; RHEA: http://identifiers.org/rhea/23821; RHEA: http://identifiers.org/rhea/23822; RHEA: http://identifiers.org/rhea/23823; EC Number: http://identifiers.org/ec-code/4.2.1.47; BioCyc: http://identifiers.org/biocyc/META:GDPMANDEHYDRA-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100377; KEGG Reaction: http://identifiers.org/kegg.reaction/R00888; SEED Reaction: http://identifiers.org/seed.reaction/rxn00642,R00888,4.2.1.47,23823
GMHEPAT,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,EC Number: http://identifiers.org/ec-code/2.7.7.70; RHEA: http://identifiers.org/rhea/27465; RHEA: http://identifiers.org/rhea/27466; RHEA: http://identifiers.org/rhea/27467; RHEA: http://identifiers.org/rhea/27468; BioCyc: http://identifiers.org/biocyc/META:RXN0-4342; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100378; KEGG Reaction: http://identifiers.org/kegg.reaction/R05644; SEED Reaction: http://identifiers.org/seed.reaction/rxn03916; SEED Reaction: http://identifiers.org/seed.reaction/rxn13940,R05644,2.7.7.70,27468
GMPR,GMP reductase,EC Number: http://identifiers.org/ec-code/1.7.1.7; RHEA: http://identifiers.org/rhea/17185; RHEA: http://identifiers.org/rhea/17186; RHEA: http://identifiers.org/rhea/17187; RHEA: http://identifiers.org/rhea/17188; BioCyc: http://identifiers.org/biocyc/META:GMP-REDUCT-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100382; KEGG Reaction: http://identifiers.org/kegg.reaction/R01134; SEED Reaction: http://identifiers.org/seed.reaction/rxn00837,R01134,1.7.1.7,17188
GMPS2,GMP synthase,RHEA: http://identifiers.org/rhea/11680; RHEA: http://identifiers.org/rhea/11681; RHEA: http://identifiers.org/rhea/11682; RHEA: http://identifiers.org/rhea/11683; EC Number: http://identifiers.org/ec-code/6.3.5.2; BioCyc: http://identifiers.org/biocyc/META:GMP-SYN-GLUT-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100384; KEGG Reaction: http://identifiers.org/kegg.reaction/R01231; SEED Reaction: http://identifiers.org/seed.reaction/rxn00917,R01231,6.3.5.2,11683
GND,Phosphogluconate dehydrogenase,EC Number: http://identifiers.org/ec-code/1.1.1.351; EC Number: http://identifiers.org/ec-code/1.1.1.44; RHEA: http://identifiers.org/rhea/10116; RHEA: http://identifiers.org/rhea/10117; RHEA: http://identifiers.org/rhea/10118; RHEA: http://identifiers.org/rhea/10119; BioCyc: http://identifiers.org/biocyc/META:RXN-9952; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100389; Reactome Reaction: http://identifiers.org/reactome/R-ATH-71299; Reactome Reaction: http://identifiers.org/reactome/R-BTA-71299; Reactome Reaction: http://identifiers.org/reactome/R-CEL-71299; Reactome Reaction: http://identifiers.org/reactome/R-CFA-71299; Reactome Reaction: http://identifiers.org/reactome/R-DDI-71299; Reactome Reaction: http://identifiers.org/reactome/R-DME-71299; Reactome Reaction: http://identifiers.org/reactome/R-DRE-71299; Reactome Reaction: http://identifiers.org/reactome/R-GGA-71299; Reactome Reaction: http://identifiers.org/reactome/R-HSA-71299; Reactome Reaction: http://identifiers.org/reactome/R-MMU-71299; Reactome Reaction: http://identifiers.org/reactome/R-OSA-71299; Reactome Reaction: http://identifiers.org/reactome/R-PFA-71299; Reactome Reaction: http://identifiers.org/reactome/R-SCE-71299; Reactome Reaction: http://identifiers.org/reactome/R-SPO-71299; Reactome Reaction: http://identifiers.org/reactome/R-SSC-71299; Reactome Reaction: http://identifiers.org/reactome/R-TGU-71299; Reactome Reaction: http://identifiers.org/reactome/R-XTR-71299; KEGG Reaction: http://identifiers.org/kegg.reaction/R01528; SEED Reaction: http://identifiers.org/seed.reaction/rxn01115,R01528,1.1.1.44,10119
GP4GH,Gp4G hydrolase,RHEA: http://identifiers.org/rhea/30203; RHEA: http://identifiers.org/rhea/30204; RHEA: http://identifiers.org/rhea/30205; RHEA: http://identifiers.org/rhea/30206; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100398; SEED Reaction: http://identifiers.org/seed.reaction/rxn08667,,,30206
GPDDA1pp,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),RHEA: http://identifiers.org/rhea/16061; RHEA: http://identifiers.org/rhea/16062; RHEA: http://identifiers.org/rhea/16063; RHEA: http://identifiers.org/rhea/16064; EC Number: http://identifiers.org/ec-code/3.1.4.2; EC Number: http://identifiers.org/ec-code/3.1.4.46; BioCyc: http://identifiers.org/biocyc/META:3.1.4.2-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100410; Reactome Reaction: http://identifiers.org/reactome/R-HSA-1483116; Reactome Reaction: http://identifiers.org/reactome/R-HSA-6814132; Reactome Reaction: http://identifiers.org/reactome/R-MMU-1483112; Reactome Reaction: http://identifiers.org/reactome/R-MMU-6814137; KEGG Reaction: http://identifiers.org/kegg.reaction/R01030; SEED Reaction: http://identifiers.org/seed.reaction/rxn00758,R01030,3.1.4.46,16064
GPDDA2,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),RHEA: http://identifiers.org/rhea/29319; RHEA: http://identifiers.org/rhea/29320; RHEA: http://identifiers.org/rhea/29321; RHEA: http://identifiers.org/rhea/29322; EC Number: http://identifiers.org/ec-code/3.1.4.2; EC Number: http://identifiers.org/ec-code/3.1.4.46; BioCyc: http://identifiers.org/biocyc/META:RXN-14160; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100411; KEGG Reaction: http://identifiers.org/kegg.reaction/R01470; SEED Reaction: http://identifiers.org/seed.reaction/rxn01073,R01470,3.1.4.46,29322
GPDDA3,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),RHEA: http://identifiers.org/rhea/29875; RHEA: http://identifiers.org/rhea/29876; RHEA: http://identifiers.org/rhea/29877; RHEA: http://identifiers.org/rhea/29878; EC Number: http://identifiers.org/ec-code/3.1.4.46; BioCyc: http://identifiers.org/biocyc/META:RXN-14136; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100412; SEED Reaction: http://identifiers.org/seed.reaction/rxn08668,,3.1.4.46,29878
GPDDA3pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),RHEA: http://identifiers.org/rhea/29875; RHEA: http://identifiers.org/rhea/29876; RHEA: http://identifiers.org/rhea/29877; RHEA: http://identifiers.org/rhea/29878; EC Number: http://identifiers.org/ec-code/3.1.4.46; BioCyc: http://identifiers.org/biocyc/META:RXN-14136; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100412; SEED Reaction: http://identifiers.org/seed.reaction/rxn08668,,3.1.4.46,29878
GPDDA4,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),EC Number: http://identifiers.org/ec-code/3.1.4.46; BioCyc: http://identifiers.org/biocyc/META:RXN-14073; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100413; SEED Reaction: http://identifiers.org/seed.reaction/rxn08669,,3.1.4.46,
GPDDA4pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),EC Number: http://identifiers.org/ec-code/3.1.4.46; BioCyc: http://identifiers.org/biocyc/META:RXN-14073; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100413; SEED Reaction: http://identifiers.org/seed.reaction/rxn08669,,3.1.4.46,
GPDDA5,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),RHEA: http://identifiers.org/rhea/16501; RHEA: http://identifiers.org/rhea/16502; RHEA: http://identifiers.org/rhea/16503; RHEA: http://identifiers.org/rhea/16504; EC Number: http://identifiers.org/ec-code/3.1.4.44; BioCyc: http://identifiers.org/biocyc/META:3.1.4.44-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100414; Reactome Reaction: http://identifiers.org/reactome/R-BTA-6813740; Reactome Reaction: http://identifiers.org/reactome/R-CEL-6813740; Reactome Reaction: http://identifiers.org/reactome/R-CFA-6813740; Reactome Reaction: http://identifiers.org/reactome/R-DDI-6813740; Reactome Reaction: http://identifiers.org/reactome/R-DME-6813740; Reactome Reaction: http://identifiers.org/reactome/R-DRE-6813740; Reactome Reaction: http://identifiers.org/reactome/R-GGA-6813740; Reactome Reaction: http://identifiers.org/reactome/R-HSA-6813740; Reactome Reaction: http://identifiers.org/reactome/R-MMU-6813740; Reactome Reaction: http://identifiers.org/reactome/R-RNO-6813740; Reactome Reaction: http://identifiers.org/reactome/R-SSC-6813740; Reactome Reaction: http://identifiers.org/reactome/R-TGU-6813740; Reactome Reaction: http://identifiers.org/reactome/R-XTR-6813740; KEGG Reaction: http://identifiers.org/kegg.reaction/R01193; SEED Reaction: http://identifiers.org/seed.reaction/rxn00889,R01193,3.1.4.44,16504
GPDDA5pp,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),RHEA: http://identifiers.org/rhea/16501; RHEA: http://identifiers.org/rhea/16502; RHEA: http://identifiers.org/rhea/16503; RHEA: http://identifiers.org/rhea/16504; EC Number: http://identifiers.org/ec-code/3.1.4.44; BioCyc: http://identifiers.org/biocyc/META:3.1.4.44-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100414; Reactome Reaction: http://identifiers.org/reactome/R-BTA-6813740; Reactome Reaction: http://identifiers.org/reactome/R-CEL-6813740; Reactome Reaction: http://identifiers.org/reactome/R-CFA-6813740; Reactome Reaction: http://identifiers.org/reactome/R-DDI-6813740; Reactome Reaction: http://identifiers.org/reactome/R-DME-6813740; Reactome Reaction: http://identifiers.org/reactome/R-DRE-6813740; Reactome Reaction: http://identifiers.org/reactome/R-GGA-6813740; Reactome Reaction: http://identifiers.org/reactome/R-HSA-6813740; Reactome Reaction: http://identifiers.org/reactome/R-MMU-6813740; Reactome Reaction: http://identifiers.org/reactome/R-RNO-6813740; Reactome Reaction: http://identifiers.org/reactome/R-SSC-6813740; Reactome Reaction: http://identifiers.org/reactome/R-TGU-6813740; Reactome Reaction: http://identifiers.org/reactome/R-XTR-6813740; KEGG Reaction: http://identifiers.org/kegg.reaction/R01193; SEED Reaction: http://identifiers.org/seed.reaction/rxn00889,R01193,3.1.4.44,16504
GRTT,Geranyltranstransferase,RHEA: http://identifiers.org/rhea/19361; RHEA: http://identifiers.org/rhea/19362; RHEA: http://identifiers.org/rhea/19363; RHEA: http://identifiers.org/rhea/19364; EC Number: http://identifiers.org/ec-code/2.5.1.10; BioCyc: http://identifiers.org/biocyc/META:FPPSYN-RXN; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR99634; Reactome Reaction: http://identifiers.org/reactome/R-ATH-191303; Reactome Reaction: http://identifiers.org/reactome/R-BTA-191303; Reactome Reaction: http://identifiers.org/reactome/R-CEL-191303; Reactome Reaction: http://identifiers.org/reactome/R-CFA-191303; Reactome Reaction: http://identifiers.org/reactome/R-DDI-191303; Reactome Reaction: http://identifiers.org/reactome/R-DME-191303; Reactome Reaction: http://identifiers.org/reactome/R-DRE-191303; Reactome Reaction: http://identifiers.org/reactome/R-GGA-191303; Reactome Reaction: http://identifiers.org/reactome/R-HSA-191303; Reactome Reaction: http://identifiers.org/reactome/R-MMU-191303; Reactome Reaction: http://identifiers.org/reactome/R-OSA-191303; Reactome Reaction: http://identifiers.org/reactome/R-PFA-191303; Reactome Reaction: http://identifiers.org/reactome/R-RNO-191303; Reactome Reaction: http://identifiers.org/reactome/R-SCE-191303; Reactome Reaction: http://identifiers.org/reactome/R-SPO-191303; Reactome Reaction: http://identifiers.org/reactome/R-SSC-191303; Reactome Reaction: http://identifiers.org/reactome/R-TGU-191303; Reactome Reaction: http://identifiers.org/reactome/R-XTR-191303; KEGG Reaction: http://identifiers.org/kegg.reaction/R02003; SEED Reaction: http://identifiers.org/seed.reaction/rxn01466,R02003,2.5.1.10,19364
GRXR,Glutaredoxin reductase,EC Number: http://identifiers.org/ec-code/1.8.4.2; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100431; SEED Reaction: http://identifiers.org/seed.reaction/rxn08670,,1.8.4.2,
